caldt,vwretd
20130731,0.050719
20130830,-0.029336
20130930,0.031707
20131031,0.046313
20131129,0.030811
20131231,0.02581
20140131,-0.034776
20140228,0.045587
20140331,0.008068
20140430,0.006477
20140530,0.023142
20140630,0.020736
